Map Projection,Map Projection,Map,Map Projection Zone,Information,Remarks,Revision,Coordinate,Projection,Projection,Proj. Param,Proj. Param,Prime,Longitude,Latitude,Scale, False, False,Latitude of,Latitude of,Latitude of False Origin,Longitude of False Origin,Easting at,Northing at,Latitude of,Longitude of,Easting at,Northing at,Azimuth of Initial Line,Scale Factor,,Proj Zone,Zone,Old Map
South Carolina CS27 South zone,South Carolina South,13902,United States - South Carolina,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,81deg  0min  0.000sec W,,,,,32deg 20min  0.000sec N,33deg 40min  0.000sec N,31deg 50min  0.000sec N,81deg  0min  0.000sec W,2000000,0,,,,,,,,abbr req (30),20,P0323
South Carolina CS83,South Carolina ,13930,United States - South Carolina,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,81deg  0min  0.000sec W,,,,,34deg 50min  0.000sec N,32deg 30min  0.000sec N,31deg 50min  0.000sec N,81deg  0min  0.000sec W,609600,0,,,,,,,,19,15,P0324
South Dakota CS27 North zone,South Dakota North,14001,United States - South Dakota - counties north of 44d 20m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,100deg  0min  0.000sec W,,,,,44deg 25min  0.000sec N,45deg 41min  0.000sec N,43deg 50min  0.000sec N,100deg  0min  0.000sec W,2000000,0,,,,,,,,abbr req (28),18,P0325
South Dakota CS27 South zone,South Dakota South,14002,United States - South Dakota - counties south of 44d 20m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,100deg 20min  0.000sec W,,,,,42deg 50min  0.000sec N,44deg 24min  0.000sec N,42deg 20min  0.000sec N,100deg 20min  0.000sec W,2000000,0,,,,,,,,abbr req (28),18,P0326
South Dakota CS83 North zone,South Dakota North,14031,United States - South Dakota - counties north of 44d 20m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,100deg  0min  0.000sec W,,,,,45deg 41min  0.000sec N,44deg 25min  0.000sec N,43deg 50min  0.000sec N,100deg  0min  0.000sec W,600000,0,,,,,,,,abbr req (28),18,P0327
South Dakota CS83 South zone,South Dakota South,14032,United States - South Dakota - counties south of 44d 20m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,100deg 20min  0.000sec W,,,,,44deg 24min  0.000sec N,42deg 50min  0.000sec N,42deg 20min  0.000sec N,100deg 20min  0.000sec W,600000,0,,,,,,,,abbr req (28),18,P0328
Tennessee CS27,Tennessee ,14100,United States - Tennessee,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,86deg  0min  0.000sec W,,,,,35deg 15min  0.000sec N,36deg 25min  0.000sec N,34deg 40min  0.000sec N,86deg  0min  0.000sec W,100000,0,,,,,,,,14,10,P0329
Tennessee CS83,Tennessee ,14130,United States - Tennessee,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,86deg  0min  0.000sec W,,,,,36deg 25min  0.000sec N,35deg 15min  0.000sec N,34deg 20min  0.000sec N,86deg  0min  0.000sec W,600000,0,,,,,,,,14,10,P0330
Texas CS27 North zone,Texas North,14201,United States - Texas - counties north of 34d 20m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,101deg 30min  0.000sec W,,,,,34deg 39min  0.000sec N,36deg 11min  0.000sec N,34deg  0min  0.000sec N,101deg 30min  0.000sec W,2000000,0,,,,,,,,21,11,P0331
Texas CS27 North Central zone,Texas North Central,14202,United States - Texas - counties between 34d 20m & 32deg North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,97deg 30min  0.000sec W,,,,,32deg  8min  0.000sec N,33deg 58min  0.000sec N,31deg 40min  0.000sec N,97deg 30min  0.000sec W,2000000,0,,,,,,,,abbr req (29),19,P0332
Texas CS27 Central zone,Texas Central,14203,United States - Texas - counties between 32deg & 30d 10m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,100deg 20min  0.000sec W,,,,,30deg  7min  0.000sec N,31deg 53min  0.000sec N,29deg 40min  0.000sec N,100deg 20min  0.000sec W,2000000,0,,,,,,,,23,13,P0333
Texas CS27 South Central zone,Texas South Central,14204,United States - Texas - counties between 30d 10m & 28d 05m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,99deg  0min  0.000sec W,,,,,28deg 23min  0.000sec N,30deg 17min  0.000sec N,27deg 50min  0.000sec N,99deg  0min  0.000sec W,2000000,0,,,,,,,,abbr req (29),19,P0334
Texas CS27 South zone,Texas South,14205,United States - Texas - counties south of 28d 05m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,98deg 30min  0.000sec W,,,,,26deg 10min  0.000sec N,27deg 50min  0.000sec N,25deg 40min  0.000sec N,98deg 30min  0.000sec W,2000000,0,,,,,,,,21,11,P0335
Texas CS83 North zone,Texas North,14231,United States - Texas - counties north of 34d 20m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,101deg 30min  0.000sec W,,,,,36deg 11min  0.000sec N,34deg 39min  0.000sec N,34deg  0min  0.000sec N,101deg 30min  0.000sec W,200000,1000000,,,,,,,,21,11,P0336
Texas CS83 North Central zone,Texas North Central,14232,United States - Texas - counties between 34d 20m & 32deg North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,98deg 30min  0.000sec W,,,,,33deg 58min  0.000sec N,32deg  8min  0.000sec N,31deg 40min  0.000sec N,98deg 30min  0.000sec W,600000,2000000,,,,,,,,abbr req (29),19,P0337
Texas CS83 Central zone,Texas Central,14233,United States - Texas - counties between 32deg & 30d 10m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,100deg 20min  0.000sec W,,,,,31deg 53min  0.000sec N,30deg  7min  0.000sec N,29deg 40min  0.000sec N,100deg 20min  0.000sec W,700000,3000000,,,,,,,,23,13,P0338
Texas CS83 South Central zone,Texas South Central,14234,United States - Texas - counties between 30d 10m & 28d 05m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,99deg  0min  0.000sec W,,,,,30deg 17min  0.000sec N,28deg 23min  0.000sec N,27deg 50min  0.000sec N,99deg  0min  0.000sec W,600000,4000000,,,,,,,,abbr req (29),19,P0339
Texas CS83 South zone,Texas South,14235,United States - Texas - counties south of 28d 05m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,98deg 30min  0.000sec W,,,,,27deg 50min  0.000sec N,26deg 10min  0.000sec N,25deg 40min  0.000sec N,98deg 30min  0.000sec W,300000,5000000,,,,,,,,21,11,P0340
Utah CS27 North zone,Utah North,14301,United States - Utah - counties north of 40d 50m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,111deg 30min  0.000sec W,,,,,40deg 43min  0.000sec N,41deg 47min  0.000sec N,40deg 20min  0.000sec N,111deg 30min  0.000sec W,2000000,0,,,,,,,,20,10,P0341
Utah CS27 Central zone,Utah Central,14302,United States - Utah - counties between 40d 50m & 38d 30m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,111deg 30min  0.000sec W,,,,,39deg  1min  0.000sec N,40deg 39min  0.000sec N,38deg 20min  0.000sec N,111deg 30min  0.000sec W,2000000,0,,,,,,,,22,12,P0342
Utah CS27 South zone,Utah South,14303,United States - Utah - counties south of 38d 30m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,111deg 30min  0.000sec W,,,,,37deg 13min  0.000sec N,38deg 21min  0.000sec N,36deg 40min  0.000sec N,111deg 30min  0.000sec W,2000000,0,,,,,,,,20,10,P0343
Utah CS83 North zone,Utah North,14331,United States - Utah - counties north of 40d 50m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,111deg 30min  0.000sec W,,,,,41deg 47min  0.000sec N,40deg 43min  0.000sec N,40deg 20min  0.000sec N,111deg 30min  0.000sec W,500000,1000000,,,,,,,,20,10,P0344
Utah CS83 Central zone,Utah Central,14332,United States - Utah - counties between 40d 50m & 38d 30m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,111deg 30min  0.000sec W,,,,,40deg 39min  0.000sec N,39deg  1min  0.000sec N,38deg 20min  0.000sec N,111deg 30min  0.000sec W,500000,2000000,,,,,,,,22,12,P0345
Utah CS83 South zone,Utah South,14333,United States - Utah - counties south of 38d 30m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,111deg 30min  0.000sec W,,,,,38deg 21min  0.000sec N,37deg 13min  0.000sec N,36deg 40min  0.000sec N,111deg 30min  0.000sec W,500000,3000000,,,,,,,,20,10,P0346
Vermont CS27,Vermont ,14400,United States - Vermont,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,72deg 30min  0.000sec W,42deg 30min  0.000sec N,0.9999643,500000,0,,,,,,,,,,,,,,12,8,P0347
Vermont CS83,Vermont ,14430,United States - Vermont,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,72deg 30min  0.000sec W,42deg 30min  0.000sec N,0.9999643,500000,0,,,,,,,,,,,,,,12,8,P0348
Virginia CS27 North zone,Virginia North,14501,United States - Virginia - counties north of 38d 05m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,78deg 30min  0.000sec W,,,,,38deg  2min  0.000sec N,39deg 12min  0.000sec N,37deg 40min  0.000sec N,78deg 30min  0.000sec W,2000000,0,,,,,,,,24,14,P0349
Virginia CS27 South zone,Virginia South,14502,United States - Virginia - counties south of 38d 05m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,78deg 30min  0.000sec W,,,,,36deg 46min  0.000sec N,37deg 58min  0.000sec N,36deg 20min  0.000sec N,78deg 30min  0.000sec W,2000000,0,,,,,,,,24,14,P0350
Virginia CS83 North zone,Virginia North,14531,United States - Virginia - counties north of 38d 05m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,78deg 30min  0.000sec W,,,,,39deg 12min  0.000sec N,38deg  2min  0.000sec N,37deg 40min  0.000sec N,78deg 30min  0.000sec W,3500000,2000000,,,,,,,,24,14,P0351
Virginia CS83 South zone,Virginia South,14532,United States - Virginia - counties south of 38d 05m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,78deg 30min  0.000sec W,,,,,37deg 58min  0.000sec N,36deg 46min  0.000sec N,36deg 20min  0.000sec N,78deg 30min  0.000sec W,3500000,1000000,,,,,,,,24,14,P0352
Washington CS27 North zone,Washington North,14601,United States - Washington - counties north of 47d 30m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,120deg 50min  0.000sec W,,,,,47deg 30min  0.000sec N,48deg 44min  0.000sec N,47deg  0min  0.000sec N,120deg 50min  0.000sec W,2000000,0,,,,,,,,abbr req (26),16,P0353
Washington CS27 South zone,Washington South,14602,United States - Washington - counties south of 47d 30m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,120deg 30min  0.000sec W,,,,,45deg 50min  0.000sec N,47deg 20min  0.000sec N,45deg 20min  0.000sec N,120deg 30min  0.000sec W,2000000,0,,,,,,,,abbr req (26),16,P0354
Washington CS83 North zone,Washington North,14631,United States - Washington - counties north of 47d 30m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,120deg 50min  0.000sec W,,,,,48deg 44min  0.000sec N,47deg 30min  0.000sec N,47deg  0min  0.000sec N,120deg 50min  0.000sec W,500000,0,,,,,,,,abbr req (26),16,P0355
Washington CS83 South zone,Washington South,14632,United States - Washington - counties south of 47d 30m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,120deg 30min  0.000sec W,,,,,47deg 20min  0.000sec N,45deg 50min  0.000sec N,45deg 20min  0.000sec N,120deg 30min  0.000sec W,500000,0,,,,,,,,abbr req (26),16,P0356
West Virginia CS27 North zone,West Virginia North,14701,United States - West Virginia - counties north of 39deg North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,79deg 30min  0.000sec W,,,,,39deg  0min  0.000sec N,40deg 15min  0.000sec N,38deg 30min  0.000sec N,79deg 30min  0.000sec W,2000000,0,,,,,,,,abbr req (29),19,P0357
West Virginia CS27 South zone,West Virginia South,14702,United States - West Virginia - counties south of 39deg North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,81deg  0min  0.000sec W,,,,,37deg 29min  0.000sec N,38deg 53min  0.000sec N,37deg  0min  0.000sec N,81deg  0min  0.000sec W,2000000,0,,,,,,,,abbr req (29),19,P0358
West Virginia CS83 North zone,West Virginia North,14731,United States - West Virginia - counties north of 39deg North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,79deg 30min  0.000sec W,,,,,40deg 15min  0.000sec N,39deg  0min  0.000sec N,38deg 30min  0.000sec N,79deg 30min  0.000sec W,600000,0,,,,,,,,abbr req (29),19,P0359
West Virginia CS83 South zone,West Virginia South,14732,United States - West Virginia - counties south of 39deg North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,81deg  0min  0.000sec W,,,,,38deg 53min  0.000sec N,37deg 29min  0.000sec N,37deg  0min  0.000sec N,81deg  0min  0.000sec W,600000,0,,,,,,,,abbr req (29),19,P0360
Wisconsin CS27 North zone,Wisconsin North,14801,United States - Wisconsin - counties north of 45d 35mm North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,90deg  0min  0.000sec W,,,,,45deg 34min  0.000sec N,46deg 46min  0.000sec N,45deg 10min  0.000sec N,90deg  0min  0.000sec W,2000000,0,,,,,,,,abbr req (25),15,P0361
Wisconsin CS27 Central zone,Wisconsin Central,14802,United States - Wisconsin - counties between 45d 35mm & 44d 15m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,90deg  0min  0.000sec W,,,,,44deg 15min  0.000sec N,45deg 30min  0.000sec N,43deg 50min  0.000sec N,90deg  0min  0.000sec W,2000000,0,,,,,,,,abbr req (27),17,P0362
Wisconsin CS27 South zone,Wisconsin South,14803,United States - Wisconsin - counties south of 44d 15m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,90deg  0min  0.000sec W,,,,,42deg 44min  0.000sec N,44deg  4min  0.000sec N,42deg  0min  0.000sec N,90deg  0min  0.000sec W,2000000,0,,,,,,,,abbr req (25),15,P0363
Wisconsin CS83 North zone,Wisconsin North,14831,United States - Wisconsin - counties north of 45d 35mm North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,90deg  0min  0.000sec W,,,,,46deg 46min  0.000sec N,45deg 34min  0.000sec N,45deg 10min  0.000sec N,90deg  0min  0.000sec W,600000,0,,,,,,,,abbr req (25),15,P0364
Wisconsin CS83 Central zone,Wisconsin Central,14832,United States - Wisconsin - counties between 45d 35mm & 44d 15m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,90deg  0min  0.000sec W,,,,,45deg 30min  0.000sec N,44deg 15min  0.000sec N,43deg 50min  0.000sec N,90deg  0min  0.000sec W,600000,0,,,,,,,,abbr req (27),17,P0365
Wisconsin CS83 South zone,Wisconsin South,14833,United States - Wisconsin - counties south of 44d 15m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,90deg  0min  0.000sec W,,,,,44deg  4min  0.000sec N,42deg 44min  0.000sec N,42deg  0min  0.000sec N,90deg  0min  0.000sec W,600000,0,,,,,,,,abbr req (25),15,P0366
Wyoming CS27 East zone ,Wyoming East ,14901,United States - Wyoming - counties east of 106d West.,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,105deg 10min  0.000sec W,40deg 40min  0.000sec N,0.9999412,500000,0,,,,,,,,,,,,,,23,13,P0367
Wyoming CS27 East Central zone ,Wyoming East Central ,14902,United States - Wyoming - counties between 106d & 108d 10m West.,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,107deg 20min  0.000sec W,40deg 40min  0.000sec N,0.9999412,500000,0,,,,,,,,,,,,,,abbr req (31),21,P0368
Wyoming CS27 West Central zone ,Wyoming West Central ,14903,United States - Wyoming - counties between 108d 10m & 109d 40m West.,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,108deg 45min  0.000sec W,40deg 40min  0.000sec N,0.9999412,500000,0,,,,,,,,,,,,,,abbr req (31),21,P0369
Wyoming CS27 West zone ,Wyoming West ,14904,United States - Wyoming - counties west of 109d 40m West.,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,110deg  5min  0.000sec W,40deg 40min  0.000sec N,0.9999412,500000,0,,,,,,,,,,,,,,23,13,P0370
Wyoming CS83 East zone ,Wyoming East ,14931,United States - Wyoming - counties east of 106d West.,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,105deg 10min  0.000sec W,40deg 30min  0.000sec N,0.9999375,200000,0,,,,,,,,,,,,,,23,13,P0371
Wyoming CS83 East Central zone ,Wyoming East Central ,14932,United States - Wyoming - counties between 106d & 108d 10m West.,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,107deg 20min  0.000sec W,40deg 30min  0.000sec N,0.9999375,400000,100000,,,,,,,,,,,,,,abbr req (31),21,P0372
Wyoming CS83 West Central zone ,Wyoming West Central ,14933,United States - Wyoming - counties between 108d 10m & 109d 40m West.,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,108deg 45min  0.000sec W,40deg 30min  0.000sec N,0.9999375,600000,0,,,,,,,,,,,,,,abbr req (31),21,P0373
Wyoming CS83 West zone ,Wyoming West ,14934,United States - Wyoming - counties west of 109d 40m West.,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,110deg  5min  0.000sec W,40deg 30min  0.000sec N,0.9999375,800000,100000,,,,,,,,,,,,,,23,13,P0374
Puerto Rico CS27,Puerto Rico ,15201,Puerto Rico,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,66deg 26min  0.000sec W,,,,,18deg 26min  0.000sec N,18deg  2min  0.000sec N,17deg 50min  0.000sec N,66deg 26min  0.000sec W,500000,0,,,,,,,,16,12,P0375
St. Croix CS27,St. Croix ,15202,Virgin Islands of US - St. Croix,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,66deg 26min  0.000sec W,,,,,18deg 26min  0.000sec N,18deg  2min  0.000sec N,17deg 50min  0.000sec N,66deg 26min  0.000sec W,500000,100000,,,,,,,,14,10,P0376
Puerto Rico & Virgin Islands CS83,Puerto Rico & Virgin Is.,15230,Puerto Rico & Virgin Islands of US,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,66deg 26min  0.000sec W,,,,,18deg 26min  0.000sec N,18deg  2min  0.000sec N,17deg 50min  0.000sec N,66deg 26min  0.000sec W,200000,200000,,,,,,,,abbr req (33),24,P0377
BLM zone 14N in feet,BLM 14N (feet),15914,United States - Gulf of Mexico - west of 96d W approximately,,"Sometimes locally referred to as ""UTM zone 14"".",02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,99deg  0min  0.000sec W,0deg  0min  0.000sec,0.9996000,1640416.67,0,,,,,,,,,,,,,,20,14,P0121
BLM zone 15N in feet,BLM 15N (feet),15915,United States - Gulf of Mexico - 96d to 90d W,,"Sometimes locally referred to as ""UTM zone 15"".",02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,93deg  0min  0.000sec W,0deg  0min  0.000sec,0.9996000,1640416.67,0,,,,,,,,,,,,,,20,14,P0122
BLM zone 16N in feet,BLM 16N (feet),15916,United States - Gulf of Mexico - 90d to 96d W,,"Sometimes locally referred to as ""UTM zone 16"".",02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,87deg  0min  0.000sec W,0deg  0min  0.000sec,0.9996000,1640416.67,0,,,,,,,,,,,,,,20,14,P0123
BLM zone 17N in feet,BLM 17N (feet),15917,United States - Gulf of Mexico - east of 84d W,,"Sometimes locally referred to as ""UTM zone 17"".",02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,81deg  0min  0.000sec W,0deg  0min  0.000sec,0.9996000,1640416.67,0,,,,,,,,,,,,,,20,14,P0124
Aden Zone,,19915,Yemen,,,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9101,degree,Greenwich,45,15,0.9993657,1500000,1000000,,,,,,,,,,,,,,9,0,P0436
UTM zone 1N,,16001,180deg to 174deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-177,0,0.9996000,500000,0,,,,,,,,,,,,,,11,0,P0001
UTM zone 2N,,16002,174deg West to 168deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-171,0,0.9996000,500000,0,,,,,,,,,,,,,,11,0,P0002
UTM zone 3N,,16003,168deg West to 162deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-165,0,0.9996000,500000,0,,,,,,,,,,,,,,11,0,P0003
UTM zone 4N,,16004,162deg West to 156deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-159,0,0.9996000,500000,0,,,,,,,,,,,,,,11,0,P0004
UTM zone 5N,,16005,156deg West to 150deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-153,0,0.9996000,500000,0,,,,,,,,,,,,,,11,0,P0005
UTM zone 6N,,16006,150deg West to 144deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-147,0,0.9996000,500000,0,,,,,,,,,,,,,,11,0,P0006
UTM zone 7N,,16007,144deg West to 138deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-141,0,0.9996000,500000,0,,,,,,,,,,,,,,11,0,P0007
UTM zone 8N,,16008,138deg West to 132deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-135,0,0.9996000,500000,0,,,,,,,,,,,,,,11,0,P0008
UTM zone 9N,,16009,132deg West to 126deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-129,0,0.9996000,500000,0,,,,,,,,,,,,,,11,0,P0009
UTM zone 10N,,16010,130deg West to 120deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-123,0,0.9996000,500000,0,,,,,,,,,,,,,,12,0,P0010
UTM zone 11N,,16011,120deg West to 114deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-117,0,0.9996000,500000,0,,,,,,,,,,,,,,12,0,P0011
UTM zone 12N,,16012,114deg West to 108deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-111,0,0.9996000,500000,0,,,,,,,,,,,,,,12,0,P0012
UTM zone 13N,,16013,108deg West to 102deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-105,0,0.9996000,500000,0,,,,,,,,,,,,,,12,0,P0013
UTM zone 14N,,16014,102deg West to 96deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-99,0,0.9996000,500000,0,,,,,,,,,,,,,,12,0,P0014
UTM zone 15N,,16015,96deg West to 90deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-93,0,0.9996000,500000,0,,,,,,,,,,,,,,12,0,P0015
UTM zone 16N,,16016,90deg West to 84deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-87,0,0.9996000,500000,0,,,,,,,,,,,,,,12,0,P0016
UTM zone 17N,,16017,84deg West to 78deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-81,0,0.9996000,500000,0,,,,,,,,,,,,,,12,0,P0017
UTM zone 18N,,16018,78deg West to 72deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-75,0,0.9996000,500000,0,,,,,,,,,,,,,,12,0,P0018
UTM zone 19N,,16019,72deg West to 66deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-69,0,0.9996000,500000,0,,,,,,,,,,,,,,12,0,P0019
UTM zone 20N,,16020,66deg West to 60deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-63,0,0.9996000,500000,0,,,,,,,,,,,,,,12,0,P0020
UTM zone 21N,,16021,60deg West to 54deg West; northern hemisphere,,,02-Jun-95,Transverse Mercator,9001,metre,9101,degree,Greenwich,-57,0,0.9996000,500000,0,,,,,,,,,,,,,,12,0,P0021
