Projected,Projected,,Area of Use,Revision,Geog.,Map,Geographic,Map Projection,Map Projection,Information,Remarks,PCS,PCS
Coordinate System,Coordinate System,PCS,,Date,C.S.,Projn.,C.S.,Zone,Zone,Source,,Name,Abbr
Name,Abbreviation,Code,,,Code,Code,Name,,Abbreviation,,,Length,Length

WGS 72BE / UTM zone 10S,,32510,130deg West to 120deg West; southern hemisphere,02-Jun-95,4324,16110,WGS 72BE,UTM zone 10S,,,,23,0
WGS 72BE / UTM zone 11S,,32511,120deg West to 114deg West; southern hemisphere,02-Jun-95,4324,16111,WGS 72BE,UTM zone 11S,,,,23,0
WGS 72BE / UTM zone 12S,,32512,114deg West to 108deg West; southern hemisphere,02-Jun-95,4324,16112,WGS 72BE,UTM zone 12S,,,,23,0
WGS 72BE / UTM zone 13S,,32513,108deg West to 102deg West; southern hemisphere,02-Jun-95,4324,16113,WGS 72BE,UTM zone 13S,,,,23,0
WGS 72BE / UTM zone 14S,,32514,102deg West to 96deg West; southern hemisphere,02-Jun-95,4324,16114,WGS 72BE,UTM zone 14S,,,,23,0
WGS 72BE / UTM zone 15S,,32515,96deg West to 90deg West; southern hemisphere,02-Jun-95,4324,16115,WGS 72BE,UTM zone 15S,,,,23,0
WGS 72BE / UTM zone 16S,,32516,90deg West to 84deg West; southern hemisphere,02-Jun-95,4324,16116,WGS 72BE,UTM zone 16S,,,,23,0
WGS 72BE / UTM zone 17S,,32517,84deg West to 78deg West; southern hemisphere,02-Jun-95,4324,16117,WGS 72BE,UTM zone 17S,,,,23,0
WGS 72BE / UTM zone 18S,,32518,78deg West to 72deg West; southern hemisphere,02-Jun-95,4324,16118,WGS 72BE,UTM zone 18S,,,,23,0
WGS 72BE / UTM zone 19S,,32519,72deg West to 66deg West; southern hemisphere,02-Jun-95,4324,16119,WGS 72BE,UTM zone 19S,,,,23,0
WGS 72BE / UTM zone 20S,,32520,66deg West to 60deg West; southern hemisphere,02-Jun-95,4324,16120,WGS 72BE,UTM zone 20S,,,,23,0
WGS 72BE / UTM zone 21S,,32521,60deg West to 54deg West; southern hemisphere,02-Jun-95,4324,16121,WGS 72BE,UTM zone 21S,,,,23,0
WGS 72BE / UTM zone 22S,,32522,54deg West to 48deg West; southern hemisphere,02-Jun-95,4324,16122,WGS 72BE,UTM zone 22S,,,,23,0
WGS 72BE / UTM zone 23S,,32523,48deg West to 42deg West; southern hemisphere,02-Jun-95,4324,16123,WGS 72BE,UTM zone 23S,,,,23,0
WGS 72BE / UTM zone 24S,,32524,42deg West to 36deg West; southern hemisphere,02-Jun-95,4324,16124,WGS 72BE,UTM zone 24S,,,,23,0
WGS 72BE / UTM zone 25S,,32525,36deg West to 30deg West; southern hemisphere,02-Jun-95,4324,16125,WGS 72BE,UTM zone 25S,,,,23,0
WGS 72BE / UTM zone 26S,,32526,30deg West to 24deg West; southern hemisphere,02-Jun-95,4324,16126,WGS 72BE,UTM zone 26S,,,,23,0
WGS 72BE / UTM zone 27S,,32527,24deg West to 18deg West; southern hemisphere,02-Jun-95,4324,16127,WGS 72BE,UTM zone 27S,,,,23,0
WGS 72BE / UTM zone 28S,,32528,18deg West to 12deg West; southern hemisphere,02-Jun-95,4324,16128,WGS 72BE,UTM zone 28S,,,,23,0
WGS 72BE / UTM zone 29S,,32529,12deg West to 6deg West; southern hemisphere,02-Jun-95,4324,16129,WGS 72BE,UTM zone 29S,,,,23,0
WGS 72BE / UTM zone 30S,,32530,6deg West to 0deg; southern hemisphere,02-Jun-95,4324,16130,WGS 72BE,UTM zone 30S,,,,23,0
WGS 72BE / UTM zone 31S,,32531,0deg to 6deg East; southern hemisphere,02-Jun-95,4324,16131,WGS 72BE,UTM zone 31S,,,,23,0
WGS 72BE / UTM zone 32S,,32532,6deg East to 12deg East; southern hemisphere,02-Jun-95,4324,16132,WGS 72BE,UTM zone 32S,,,,23,0
WGS 72BE / UTM zone 33S,,32533,12deg East to 18deg East; southern hemisphere,02-Jun-95,4324,16133,WGS 72BE,UTM zone 33S,,,,23,0
WGS 72BE / UTM zone 34S,,32534,18deg East to 24deg East; southern hemisphere,02-Jun-95,4324,16134,WGS 72BE,UTM zone 34S,,,,23,0
WGS 72BE / UTM zone 35S,,32535,24deg East to 30deg East; southern hemisphere,02-Jun-95,4324,16135,WGS 72BE,UTM zone 35S,,,,23,0
WGS 72BE / UTM zone 36S,,32536,30deg East to 36deg East; southern hemisphere,02-Jun-95,4324,16136,WGS 72BE,UTM zone 36S,,,,23,0
WGS 72BE / UTM zone 37S,,32537,36deg East to 42deg East; southern hemisphere,02-Jun-95,4324,16137,WGS 72BE,UTM zone 37S,,,,23,0
WGS 72BE / UTM zone 38S,,32538,42deg East to 48deg East; southern hemisphere,02-Jun-95,4324,16138,WGS 72BE,UTM zone 38S,,,,23,0
WGS 72BE / UTM zone 39S,,32539,48deg East to 54deg East; southern hemisphere,02-Jun-95,4324,16139,WGS 72BE,UTM zone 39S,,,,23,0
WGS 72BE / UTM zone 40S,,32540,54deg East to 60deg East; southern hemisphere,02-Jun-95,4324,16140,WGS 72BE,UTM zone 40S,,,,23,0
WGS 72BE / UTM zone 41S,,32541,60deg East to 66deg East; southern hemisphere,02-Jun-95,4324,16141,WGS 72BE,UTM zone 41S,,,,23,0
WGS 72BE / UTM zone 42S,,32542,66deg East to 72deg East; southern hemisphere,02-Jun-95,4324,16142,WGS 72BE,UTM zone 42S,,,,23,0
WGS 72BE / UTM zone 43S,,32543,72deg East to 78deg East; southern hemisphere,02-Jun-95,4324,16143,WGS 72BE,UTM zone 43S,,,,23,0
WGS 72BE / UTM zone 44S,,32544,78deg East to 84deg East; southern hemisphere,02-Jun-95,4324,16144,WGS 72BE,UTM zone 44S,,,,23,0
WGS 72BE / UTM zone 45S,,32545,84deg East to 90deg East; southern hemisphere,02-Jun-95,4324,16145,WGS 72BE,UTM zone 45S,,,,23,0
WGS 72BE / UTM zone 46S,,32546,90deg East to 96deg East; southern hemisphere,02-Jun-95,4324,16146,WGS 72BE,UTM zone 46S,,,,23,0
WGS 72BE / UTM zone 47S,,32547,96deg East to 102eg East; southern hemisphere,02-Jun-95,4324,16147,WGS 72BE,UTM zone 47S,,,,23,0
WGS 72BE / UTM zone 48S,,32548,102deg East to 108deg East; southern hemisphere,02-Jun-95,4324,16148,WGS 72BE,UTM zone 48S,,,,23,0
WGS 72BE / UTM zone 49S,,32549,108deg East to 114deg East; southern hemisphere,02-Jun-95,4324,16149,WGS 72BE,UTM zone 49S,,,,23,0
WGS 72BE / UTM zone 50S,,32550,114deg East to 120deg East; southern hemisphere,02-Jun-95,4324,16150,WGS 72BE,UTM zone 50S,,,,23,0
WGS 72BE / UTM zone 51S,,32551,120deg East to 126deg East; southern hemisphere,02-Jun-95,4324,16151,WGS 72BE,UTM zone 51S,,,,23,0
WGS 72BE / UTM zone 52S,,32552,126deg East to 132deg East; southern hemisphere,02-Jun-95,4324,16152,WGS 72BE,UTM zone 52S,,,,23,0
WGS 72BE / UTM zone 53S,,32553,132deg East to 138deg East; southern hemisphere,02-Jun-95,4324,16153,WGS 72BE,UTM zone 53S,,,,23,0
WGS 72BE / UTM zone 54S,,32554,138deg East to 144deg East; southern hemisphere,02-Jun-95,4324,16154,WGS 72BE,UTM zone 54S,,,,23,0
WGS 72BE / UTM zone 55S,,32555,144deg East to 150deg East; southern hemisphere,02-Jun-95,4324,16155,WGS 72BE,UTM zone 55S,,,,23,0
WGS 72BE / UTM zone 56S,,32556,150deg East to 156deg East; southern hemisphere,02-Jun-95,4324,16156,WGS 72BE,UTM zone 56S,,,,23,0
WGS 72BE / UTM zone 57S,,32557,156deg East to 162deg East; southern hemisphere,02-Jun-95,4324,16157,WGS 72BE,UTM zone 57S,,,,23,0
WGS 72BE / UTM zone 58S,,32558,162deg East to 168deg East; southern hemisphere,02-Jun-95,4324,16158,WGS 72BE,UTM zone 58S,,,,23,0
WGS 72BE / UTM zone 59S,,32559,168deg East to 174deg East; southern hemisphere,02-Jun-95,4324,16159,WGS 72BE,UTM zone 59S,,,,23,0
WGS 72BE / UTM zone 60S,,32560,174deg East to 180deg; southern hemisphere,02-Jun-95,4324,16160,WGS 72BE,UTM zone 60S,,,,23,0
WGS 84 / UTM zone 1N,,32601,180deg to 174deg West; northern hemisphere,02-Jun-95,4326,16001,WGS 84,UTM zone 1N,,,,20,0
WGS 84 / UTM zone 2N,,32602,174deg West to 168deg West; northern hemisphere,02-Jun-95,4326,16002,WGS 84,UTM zone 2N,,,,20,0
WGS 84 / UTM zone 3N,,32603,168deg West to 162deg West; northern hemisphere,02-Jun-95,4326,16003,WGS 84,UTM zone 3N,,,,20,0
WGS 84 / UTM zone 4N,,32604,162deg West to 156deg West; northern hemisphere,02-Jun-95,4326,16004,WGS 84,UTM zone 4N,,,,20,0
WGS 84 / UTM zone 5N,,32605,156deg West to 150deg West; northern hemisphere,02-Jun-95,4326,16005,WGS 84,UTM zone 5N,,,,20,0
WGS 84 / UTM zone 6N,,32606,150deg West to 144deg West; northern hemisphere,02-Jun-95,4326,16006,WGS 84,UTM zone 6N,,,,20,0
WGS 84 / UTM zone 7N,,32607,144deg West to 138deg West; northern hemisphere,02-Jun-95,4326,16007,WGS 84,UTM zone 7N,,,,20,0
WGS 84 / UTM zone 8N,,32608,138deg West to 132deg West; northern hemisphere,02-Jun-95,4326,16008,WGS 84,UTM zone 8N,,,,20,0
WGS 84 / UTM zone 9N,,32609,132deg West to 126deg West; northern hemisphere,02-Jun-95,4326,16009,WGS 84,UTM zone 9N,,,,20,0
WGS 84 / UTM zone 10N,,32610,130deg West to 120deg West; northern hemisphere,02-Jun-95,4326,16010,WGS 84,UTM zone 10N,,,,21,0
WGS 84 / UTM zone 11N,,32611,120deg West to 114deg West; northern hemisphere,02-Jun-95,4326,16011,WGS 84,UTM zone 11N,,,,21,0
WGS 84 / UTM zone 12N,,32612,114deg West to 108deg West; northern hemisphere,02-Jun-95,4326,16012,WGS 84,UTM zone 12N,,,,21,0
WGS 84 / UTM zone 13N,,32613,108deg West to 102deg West; northern hemisphere,02-Jun-95,4326,16013,WGS 84,UTM zone 13N,,,,21,0
WGS 84 / UTM zone 14N,,32614,102deg West to 96deg West; northern hemisphere,02-Jun-95,4326,16014,WGS 84,UTM zone 14N,,,,21,0
WGS 84 / UTM zone 15N,,32615,96deg West to 90deg West; northern hemisphere,02-Jun-95,4326,16015,WGS 84,UTM zone 15N,,,,21,0
WGS 84 / UTM zone 16N,,32616,90deg West to 84deg West; northern hemisphere,02-Jun-95,4326,16016,WGS 84,UTM zone 16N,,,,21,0
WGS 84 / UTM zone 17N,,32617,84deg West to 78deg West; northern hemisphere,02-Jun-95,4326,16017,WGS 84,UTM zone 17N,,,,21,0
WGS 84 / UTM zone 18N,,32618,78deg West to 72deg West; northern hemisphere,02-Jun-95,4326,16018,WGS 84,UTM zone 18N,,,,21,0
WGS 84 / UTM zone 19N,,32619,72deg West to 66deg West; northern hemisphere,02-Jun-95,4326,16019,WGS 84,UTM zone 19N,,,,21,0
WGS 84 / UTM zone 20N,,32620,66deg West to 60deg West; northern hemisphere,02-Jun-95,4326,16020,WGS 84,UTM zone 20N,,,,21,0
WGS 84 / UTM zone 21N,,32621,60deg West to 54deg West; northern hemisphere,02-Jun-95,4326,16021,WGS 84,UTM zone 21N,,,,21,0
WGS 84 / UTM zone 22N,,32622,54deg West to 48deg West; northern hemisphere,02-Jun-95,4326,16022,WGS 84,UTM zone 22N,,,,21,0
WGS 84 / UTM zone 23N,,32623,48deg West to 42deg West; northern hemisphere,02-Jun-95,4326,16023,WGS 84,UTM zone 23N,,,,21,0
WGS 84 / UTM zone 24N,,32624,42deg West to 36deg West; northern hemisphere,02-Jun-95,4326,16024,WGS 84,UTM zone 24N,,,,21,0
WGS 84 / UTM zone 25N,,32625,36deg West to 30deg West; northern hemisphere,02-Jun-95,4326,16025,WGS 84,UTM zone 25N,,,,21,0
WGS 84 / UTM zone 26N,,32626,30deg West to 24deg West; northern hemisphere,02-Jun-95,4326,16026,WGS 84,UTM zone 26N,,,,21,0
WGS 84 / UTM zone 27N,,32627,24deg West to 18deg West; northern hemisphere,02-Jun-95,4326,16027,WGS 84,UTM zone 27N,,,,21,0
WGS 84 / UTM zone 28N,,32628,18deg West to 12deg West; northern hemisphere,02-Jun-95,4326,16028,WGS 84,UTM zone 28N,,,,21,0
WGS 84 / UTM zone 29N,,32629,12deg West to 6deg West; northern hemisphere,02-Jun-95,4326,16029,WGS 84,UTM zone 29N,,,,21,0
WGS 84 / UTM zone 30N,,32630,6deg West to 0deg; northern hemisphere,02-Jun-95,4326,16030,WGS 84,UTM zone 30N,,,,21,0
WGS 84 / UTM zone 31N,,32631,0deg to 6deg East; northern hemisphere,02-Jun-95,4326,16031,WGS 84,UTM zone 31N,,,,21,0
WGS 84 / UTM zone 32N,,32632,6deg East to 12deg East; northern hemisphere,02-Jun-95,4326,16032,WGS 84,UTM zone 32N,,,,21,0
WGS 84 / UTM zone 33N,,32633,12deg East to 18deg East; northern hemisphere,02-Jun-95,4326,16033,WGS 84,UTM zone 33N,,,,21,0
WGS 84 / UTM zone 34N,,32634,18deg East to 24deg East; northern hemisphere,02-Jun-95,4326,16034,WGS 84,UTM zone 34N,,,,21,0
WGS 84 / UTM zone 35N,,32635,24deg East to 30deg East; northern hemisphere,02-Jun-95,4326,16035,WGS 84,UTM zone 35N,,,,21,0
WGS 84 / UTM zone 36N,,32636,30deg East to 36deg East; northern hemisphere,02-Jun-95,4326,16036,WGS 84,UTM zone 36N,,,,21,0
WGS 84 / UTM zone 37N,,32637,36deg East to 42deg East; northern hemisphere,02-Jun-95,4326,16037,WGS 84,UTM zone 37N,,,,21,0
WGS 84 / UTM zone 38N,,32638,42deg East to 48deg East; northern hemisphere,02-Jun-95,4326,16038,WGS 84,UTM zone 38N,,,,21,0
WGS 84 / UTM zone 39N,,32639,48deg East to 54deg East; northern hemisphere,02-Jun-95,4326,16039,WGS 84,UTM zone 39N,,,,21,0
WGS 84 / UTM zone 40N,,32640,54deg East to 60deg East; northern hemisphere,02-Jun-95,4326,16040,WGS 84,UTM zone 40N,,,,21,0
WGS 84 / UTM zone 41N,,32641,60deg East to 66deg East; northern hemisphere,02-Jun-95,4326,16041,WGS 84,UTM zone 41N,,,,21,0
WGS 84 / UTM zone 42N,,32642,66deg East to 72deg East; northern hemisphere,02-Jun-95,4326,16042,WGS 84,UTM zone 42N,,,,21,0
WGS 84 / UTM zone 43N,,32643,72deg East to 78deg East; northern hemisphere,02-Jun-95,4326,16043,WGS 84,UTM zone 43N,,,,21,0
WGS 84 / UTM zone 44N,,32644,78deg East to 84deg East; northern hemisphere,02-Jun-95,4326,16044,WGS 84,UTM zone 44N,,,,21,0
WGS 84 / UTM zone 45N,,32645,84deg East to 90deg East; northern hemisphere,02-Jun-95,4326,16045,WGS 84,UTM zone 45N,,,,21,0
WGS 84 / UTM zone 46N,,32646,90deg East to 96deg East; northern hemisphere,02-Jun-95,4326,16046,WGS 84,UTM zone 46N,,,,21,0
WGS 84 / UTM zone 47N,,32647,96deg East to 102eg East; northern hemisphere,02-Jun-95,4326,16047,WGS 84,UTM zone 47N,,,,21,0
WGS 84 / UTM zone 48N,,32648,102deg East to 108deg East; northern hemisphere,02-Jun-95,4326,16048,WGS 84,UTM zone 48N,,,,21,0
WGS 84 / UTM zone 49N,,32649,108deg East to 114deg East; northern hemisphere,02-Jun-95,4326,16049,WGS 84,UTM zone 49N,,,,21,0
WGS 84 / UTM zone 50N,,32650,114deg East to 120deg East; northern hemisphere,02-Jun-95,4326,16050,WGS 84,UTM zone 50N,,,,21,0
WGS 84 / UTM zone 51N,,32651,120deg East to 126deg East; northern hemisphere,02-Jun-95,4326,16051,WGS 84,UTM zone 51N,,,,21,0
WGS 84 / UTM zone 52N,,32652,126deg East to 132deg East; northern hemisphere,02-Jun-95,4326,16052,WGS 84,UTM zone 52N,,,,21,0
WGS 84 / UTM zone 53N,,32653,132deg East to 138deg East; northern hemisphere,02-Jun-95,4326,16053,WGS 84,UTM zone 53N,,,,21,0
WGS 84 / UTM zone 54N,,32654,138deg East to 144deg East; northern hemisphere,02-Jun-95,4326,16054,WGS 84,UTM zone 54N,,,,21,0
WGS 84 / UTM zone 55N,,32655,144deg East to 150deg East; northern hemisphere,02-Jun-95,4326,16055,WGS 84,UTM zone 55N,,,,21,0
WGS 84 / UTM zone 56N,,32656,150deg East to 156deg East; northern hemisphere,02-Jun-95,4326,16056,WGS 84,UTM zone 56N,,,,21,0
WGS 84 / UTM zone 57N,,32657,156deg East to 162deg East; northern hemisphere,02-Jun-95,4326,16057,WGS 84,UTM zone 57N,,,,21,0
WGS 84 / UTM zone 58N,,32658,162deg East to 168deg East; northern hemisphere,02-Jun-95,4326,16058,WGS 84,UTM zone 58N,,,,21,0
WGS 84 / UTM zone 59N,,32659,168deg East to 174deg East; northern hemisphere,02-Jun-95,4326,16059,WGS 84,UTM zone 59N,,,,21,0
WGS 84 / UTM zone 60N,,32660,174deg East to 180deg; northern hemisphere,02-Jun-95,4326,16060,WGS 84,UTM zone 60N,,,,21,0
WGS 84 / UTM zone 1S,,32701,180deg to 174deg West; southern hemisphere,02-Jun-95,4326,16101,WGS 84,UTM zone 1S,,,,20,0
WGS 84 / UTM zone 2S,,32702,174deg West to 168deg West; southern hemisphere,02-Jun-95,4326,16102,WGS 84,UTM zone 2S,,,,20,0
WGS 84 / UTM zone 3S,,32703,168deg West to 162deg West; southern hemisphere,02-Jun-95,4326,16103,WGS 84,UTM zone 3S,,,,20,0
WGS 84 / UTM zone 4S,,32704,162deg West to 156deg West; southern hemisphere,02-Jun-95,4326,16104,WGS 84,UTM zone 4S,,,,20,0
WGS 84 / UTM zone 5S,,32705,156deg West to 150deg West; southern hemisphere,02-Jun-95,4326,16105,WGS 84,UTM zone 5S,,,,20,0
WGS 84 / UTM zone 6S,,32706,150deg West to 144deg West; southern hemisphere,02-Jun-95,4326,16106,WGS 84,UTM zone 6S,,,,20,0
WGS 84 / UTM zone 7S,,32707,144deg West to 138deg West; southern hemisphere,02-Jun-95,4326,16107,WGS 84,UTM zone 7S,,,,20,0
WGS 84 / UTM zone 8S,,32708,138deg West to 132deg West; southern hemisphere,02-Jun-95,4326,16108,WGS 84,UTM zone 8S,,,,20,0
WGS 84 / UTM zone 9S,,32709,132deg West to 126deg West; southern hemisphere,02-Jun-95,4326,16109,WGS 84,UTM zone 9S,,,,20,0
WGS 84 / UTM zone 10S,,32710,130deg West to 120deg West; southern hemisphere,02-Jun-95,4326,16110,WGS 84,UTM zone 10S,,,,21,0
WGS 84 / UTM zone 11S,,32711,120deg West to 114deg West; southern hemisphere,02-Jun-95,4326,16111,WGS 84,UTM zone 11S,,,,21,0
WGS 84 / UTM zone 12S,,32712,114deg West to 108deg West; southern hemisphere,02-Jun-95,4326,16112,WGS 84,UTM zone 12S,,,,21,0
WGS 84 / UTM zone 13S,,32713,108deg West to 102deg West; southern hemisphere,02-Jun-95,4326,16113,WGS 84,UTM zone 13S,,,,21,0
WGS 84 / UTM zone 14S,,32714,102deg West to 96deg West; southern hemisphere,02-Jun-95,4326,16114,WGS 84,UTM zone 14S,,,,21,0
WGS 84 / UTM zone 15S,,32715,96deg West to 90deg West; southern hemisphere,02-Jun-95,4326,16115,WGS 84,UTM zone 15S,,,,21,0
WGS 84 / UTM zone 16S,,32716,90deg West to 84deg West; southern hemisphere,02-Jun-95,4326,16116,WGS 84,UTM zone 16S,,,,21,0
WGS 84 / UTM zone 17S,,32717,84deg West to 78deg West; southern hemisphere,02-Jun-95,4326,16117,WGS 84,UTM zone 17S,,,,21,0
WGS 84 / UTM zone 18S,,32718,78deg West to 72deg West; southern hemisphere,02-Jun-95,4326,16118,WGS 84,UTM zone 18S,,,,21,0
WGS 84 / UTM zone 19S,,32719,72deg West to 66deg West; southern hemisphere,02-Jun-95,4326,16119,WGS 84,UTM zone 19S,,,,21,0
WGS 84 / UTM zone 20S,,32720,66deg West to 60deg West; southern hemisphere,02-Jun-95,4326,16120,WGS 84,UTM zone 20S,,,,21,0
WGS 84 / UTM zone 21S,,32721,60deg West to 54deg West; southern hemisphere,02-Jun-95,4326,16121,WGS 84,UTM zone 21S,,,,21,0
WGS 84 / UTM zone 22S,,32722,54deg West to 48deg West; southern hemisphere,02-Jun-95,4326,16122,WGS 84,UTM zone 22S,,,,21,0
WGS 84 / UTM zone 23S,,32723,48deg West to 42deg West; southern hemisphere,02-Jun-95,4326,16123,WGS 84,UTM zone 23S,,,,21,0
WGS 84 / UTM zone 24S,,32724,42deg West to 36deg West; southern hemisphere,02-Jun-95,4326,16124,WGS 84,UTM zone 24S,,,,21,0
WGS 84 / UTM zone 25S,,32725,36deg West to 30deg West; southern hemisphere,02-Jun-95,4326,16125,WGS 84,UTM zone 25S,,,,21,0
WGS 84 / UTM zone 26S,,32726,30deg West to 24deg West; southern hemisphere,02-Jun-95,4326,16126,WGS 84,UTM zone 26S,,,,21,0
WGS 84 / UTM zone 27S,,32727,24deg West to 18deg West; southern hemisphere,02-Jun-95,4326,16127,WGS 84,UTM zone 27S,,,,21,0
WGS 84 / UTM zone 28S,,32728,18deg West to 12deg West; southern hemisphere,02-Jun-95,4326,16128,WGS 84,UTM zone 28S,,,,21,0
WGS 84 / UTM zone 29S,,32729,12deg West to 6deg West; southern hemisphere,02-Jun-95,4326,16129,WGS 84,UTM zone 29S,,,,21,0
WGS 84 / UTM zone 30S,,32730,6deg West to 0deg; southern hemisphere,02-Jun-95,4326,16130,WGS 84,UTM zone 30S,,,,21,0
WGS 84 / UTM zone 31S,,32731,0deg to 6deg East; southern hemisphere,02-Jun-95,4326,16131,WGS 84,UTM zone 31S,,,,21,0
WGS 84 / UTM zone 32S,,32732,6deg East to 12deg East; southern hemisphere,02-Jun-95,4326,16132,WGS 84,UTM zone 32S,,,,21,0
WGS 84 / UTM zone 33S,,32733,12deg East to 18deg East; southern hemisphere,02-Jun-95,4326,16133,WGS 84,UTM zone 33S,,,,21,0
WGS 84 / UTM zone 34S,,32734,18deg East to 24deg East; southern hemisphere,02-Jun-95,4326,16134,WGS 84,UTM zone 34S,,,,21,0
WGS 84 / UTM zone 35S,,32735,24deg East to 30deg East; southern hemisphere,02-Jun-95,4326,16135,WGS 84,UTM zone 35S,,,,21,0
WGS 84 / UTM zone 36S,,32736,30deg East to 36deg East; southern hemisphere,02-Jun-95,4326,16136,WGS 84,UTM zone 36S,,,,21,0
WGS 84 / UTM zone 37S,,32737,36deg East to 42deg East; southern hemisphere,02-Jun-95,4326,16137,WGS 84,UTM zone 37S,,,,21,0
WGS 84 / UTM zone 38S,,32738,42deg East to 48deg East; southern hemisphere,02-Jun-95,4326,16138,WGS 84,UTM zone 38S,,,,21,0
WGS 84 / UTM zone 39S,,32739,48deg East to 54deg East; southern hemisphere,02-Jun-95,4326,16139,WGS 84,UTM zone 39S,,,,21,0
WGS 84 / UTM zone 40S,,32740,54deg East to 60deg East; southern hemisphere,02-Jun-95,4326,16140,WGS 84,UTM zone 40S,,,,21,0
WGS 84 / UTM zone 41S,,32741,60deg East to 66deg East; southern hemisphere,02-Jun-95,4326,16141,WGS 84,UTM zone 41S,,,,21,0
WGS 84 / UTM zone 42S,,32742,66deg East to 72deg East; southern hemisphere,02-Jun-95,4326,16142,WGS 84,UTM zone 42S,,,,21,0
WGS 84 / UTM zone 43S,,32743,72deg East to 78deg East; southern hemisphere,02-Jun-95,4326,16143,WGS 84,UTM zone 43S,,,,21,0
WGS 84 / UTM zone 44S,,32744,78deg East to 84deg East; southern hemisphere,02-Jun-95,4326,16144,WGS 84,UTM zone 44S,,,,21,0
WGS 84 / UTM zone 45S,,32745,84deg East to 90deg East; southern hemisphere,02-Jun-95,4326,16145,WGS 84,UTM zone 45S,,,,21,0
WGS 84 / UTM zone 46S,,32746,90deg East to 96deg East; southern hemisphere,02-Jun-95,4326,16146,WGS 84,UTM zone 46S,,,,21,0
WGS 84 / UTM zone 47S,,32747,96deg East to 102eg East; southern hemisphere,02-Jun-95,4326,16147,WGS 84,UTM zone 47S,,,,21,0
WGS 84 / UTM zone 48S,,32748,102deg East to 108deg East; southern hemisphere,02-Jun-95,4326,16148,WGS 84,UTM zone 48S,,,,21,0
WGS 84 / UTM zone 49S,,32749,108deg East to 114deg East; southern hemisphere,02-Jun-95,4326,16149,WGS 84,UTM zone 49S,,,,21,0
WGS 84 / UTM zone 50S,,32750,114deg East to 120deg East; southern hemisphere,02-Jun-95,4326,16150,WGS 84,UTM zone 50S,,,,21,0
WGS 84 / UTM zone 51S,,32751,120deg East to 126deg East; southern hemisphere,02-Jun-95,4326,16151,WGS 84,UTM zone 51S,,,,21,0
WGS 84 / UTM zone 52S,,32752,126deg East to 132deg East; southern hemisphere,02-Jun-95,4326,16152,WGS 84,UTM zone 52S,,,,21,0
WGS 84 / UTM zone 53S,,32753,132deg East to 138deg East; southern hemisphere,02-Jun-95,4326,16153,WGS 84,UTM zone 53S,,,,21,0
WGS 84 / UTM zone 54S,,32754,138deg East to 144deg East; southern hemisphere,02-Jun-95,4326,16154,WGS 84,UTM zone 54S,,,,21,0
WGS 84 / UTM zone 55S,,32755,144deg East to 150deg East; southern hemisphere,02-Jun-95,4326,16155,WGS 84,UTM zone 55S,,,,21,0
WGS 84 / UTM zone 56S,,32756,150deg East to 156deg East; southern hemisphere,02-Jun-95,4326,16156,WGS 84,UTM zone 56S,,,,21,0
WGS 84 / UTM zone 57S,,32757,156deg East to 162deg East; southern hemisphere,02-Jun-95,4326,16157,WGS 84,UTM zone 57S,,,,21,0
WGS 84 / UTM zone 58S,,32758,162deg East to 168deg East; southern hemisphere,02-Jun-95,4326,16158,WGS 84,UTM zone 58S,,,,21,0
WGS 84 / UTM zone 59S,,32759,168deg East to 174deg East; southern hemisphere,02-Jun-95,4326,16159,WGS 84,UTM zone 59S,,,,21,0
WGS 84 / UTM zone 60S,,32760,174deg East to 180deg; southern hemisphere,02-Jun-95,4326,16160,WGS 84,UTM zone 60S,,,,21,0
Yoff / UTM zone 28N,,31028,Senegal,02-Jun-95,4310,16028,Yoff,UTM zone 28N,,,,19,0
Zanderij / UTM zone 21N,,31121,Suriname,02-Jun-95,4311,16021,Zanderij,UTM zone 21N,,,,23,0
